"Administrative","Informational","ProductRelated","BounceRates","ExitRates","Month","VisitorType","Weekend","Revenue"
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0.05,0.14,"Feb","Returning_Visitor",FALSE,FALSE
0,0,10,0.02,0.05,"Feb","Returning_Visitor",TRUE,FALSE
0,0,19,0.015789474,0.024561404,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
1,0,1,0.2,0.2,"Feb","Returning_Visitor",TRUE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
0,0,3,0,0.022222222,"Feb","Returning_Visitor",FALSE,FALSE
0,0,3,0,0.066666667,"Feb","Returning_Visitor",FALSE,FALSE
0,0,16,0.01875,0.025833333,"Feb","Returning_Visitor",FALSE,FALSE
0,0,7,0,0.028571429,"Feb","Returning_Visitor",FALSE,FALSE
0,0,6,0,0.066666667,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
2,0,23,0.008333333,0.016312636,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,13,0,0.007692308,"Feb","Returning_Visitor",TRUE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
0,0,20,0,0.01,"Feb","Returning_Visitor",FALSE,FALSE
0,0,8,0,0.008333333,"Feb","Returning_Visitor",TRUE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,3,0,0.033333333,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",TRUE,FALSE
0,0,5,0,0.04,"Feb","Returning_Visitor",FALSE,FALSE
4,0,32,0.002857143,0.00952381,"Feb","Returning_Visitor",FALSE,FALSE
0,0,4,0.05,0.1,"Feb","Returning_Visitor",FALSE,FALSE
0,0,4,0,0.05,"Feb","Returning_Visitor",FALSE,FALSE
1,1,45,0.043478261,0.050821256,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
0,0,3,0,0.066666667,"Feb","Returning_Visitor",TRUE,FALSE
0,0,8,0,0.025,"Feb","Returning_Visitor",FALSE,FALSE
0,0,10,0.04,0.08,"Feb","Returning_Visitor",FALSE,FALSE
0,0,14,0.014285714,0.028571429,"Feb","Returning_Visitor",FALSE,FALSE
0,0,52,0.015384615,0.020352564,"Feb","Returning_Visitor",FALSE,FALSE
0,0,8,0.025,0.05625,"Feb","Returning_Visitor",TRUE,FALSE
2,0,5,0,0.028571429,"Feb","Returning_Visitor",FALSE,FALSE
0,0,7,0.028571429,0.071428571,"Feb","Returning_Visitor",FALSE,FALSE
0,0,9,0,0.022222222,"Feb","Returning_Visitor",FALSE,FALSE
1,0,46,0,0.001794872,"Feb","Returning_Visitor",FALSE,FALSE
0,0,3,0,0.066666667,"Feb","Returning_Visitor",FALSE,FALSE
0,0,15,0,0.006666667,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.05,"Feb","Returning_Visitor",FALSE,FALSE
0,0,4,0,0.05,"Feb","Returning_Visitor",FALSE,FALSE
0,0,22,0.003030303,0.006060606,"Feb","Returning_Visitor",FALSE,FALSE
0,0,14,0.017142857,0.057142857,"Feb","Returning_Visitor",FALSE,FALSE
0,0,3,0.066666667,0.133333333,"Feb","Returning_Visitor",FALSE,FALSE
0,0,11,0,0.003636364,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",TRUE,FALSE
0,0,12,0.011111111,0.026111111,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",TRUE,FALSE
0,0,4,0,0.075,"Feb","Returning_Visitor",FALSE,FALSE
0,0,4,0.05,0.025,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
4,2,36,0,0.014736467,"Feb","Returning_Visitor",FALSE,FALSE
0,0,4,0,0.05,"Feb","Returning_Visitor",FALSE,FALSE
2,0,16,0.011764706,0.046568627,"Feb","Returning_Visitor",FALSE,FALSE
0,0,6,0,0.016666667,"Feb","Returning_Visitor",FALSE,FALSE
0,0,8,0.05,0.120833333,"Feb","Returning_Visitor",FALSE,FALSE
12,0,42,0.009,0.019666667,"Feb","Returning_Visitor",FALSE,FALSE
0,0,14,0,0.007142857,"Feb","Returning_Visitor",TRUE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
3,0,27,0,0.012643678,"Feb","Returning_Visitor",FALSE,TRUE
4,0,90,0.002150538,0.015013034,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,18,0,0.007407407,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,1,0.2,0.2,"Feb","Returning_Visitor",FALSE,FALSE
0,0,20,0.025,0.0525,"Feb","Returning_Visitor",FALSE,FALSE
0,0,2,0,0.1,"Feb","Returning_Visitor",FALSE,FALSE
